ESTAR: Stopping Powers and Range Tables for Electrons

POLYMETHYL METHACRALATE (LUCITE, PERSPEX, PLEXIGLASS)

Kinetic   Collision Radiative Total     D. Effect
Energy    Stp. Pow. Stp. Pow. Stp. Pow. Parameter
MeV       MeV cm2/g MeV cm2/g MeV cm2/g

5.360E-01 1.945E+00 6.585E-03 1.952E+00 6.166E-02
5.420E-01 1.941E+00 6.637E-03 1.947E+00 6.519E-02
5.480E-01 1.936E+00 6.689E-03 1.943E+00 6.874E-02
5.540E-01 1.932E+00 6.741E-03 1.939E+00 7.231E-02
5.600E-01 1.928E+00 6.794E-03 1.935E+00 7.591E-02
5.660E-01 1.924E+00 6.847E-03 1.931E+00 7.954E-02
5.720E-01 1.920E+00 6.900E-03 1.927E+00 8.318E-02
5.780E-01 1.916E+00 6.953E-03 1.923E+00 8.685E-02
5.840E-01 1.913E+00 7.006E-03 1.920E+00 9.054E-02
5.900E-01 1.909E+00 7.060E-03 1.916E+00 9.425E-02
5.960E-01 1.905E+00 7.114E-03 1.913E+00 9.798E-02
6.020E-01 1.902E+00 7.168E-03 1.909E+00 1.017E-01
6.080E-01 1.899E+00 7.222E-03 1.906E+00 1.055E-01
6.140E-01 1.895E+00 7.276E-03 1.903E+00 1.093E-01
6.200E-01 1.892E+00 7.331E-03 1.900E+00 1.131E-01
6.260E-01 1.889E+00 7.385E-03 1.896E+00 1.169E-01
6.320E-01 1.886E+00 7.440E-03 1.893E+00 1.207E-01
6.380E-01 1.883E+00 7.496E-03 1.891E+00 1.246E-01
6.440E-01 1.880E+00 7.551E-03 1.888E+00 1.284E-01
6.500E-01 1.877E+00 7.607E-03 1.885E+00 1.323E-01
6.560E-01 1.875E+00 7.662E-03 1.882E+00 1.362E-01
6.620E-01 1.872E+00 7.718E-03 1.880E+00 1.401E-01
6.680E-01 1.869E+00 7.774E-03 1.877E+00 1.440E-01
6.740E-01 1.867E+00 7.830E-03 1.875E+00 1.479E-01
6.800E-01 1.864E+00 7.887E-03 1.872E+00 1.518E-01
6.860E-01 1.862E+00 7.943E-03 1.870E+00 1.558E-01
6.920E-01 1.859E+00 8.000E-03 1.867E+00 1.597E-01
6.980E-01 1.857E+00 8.057E-03 1.865E+00 1.637E-01
7.040E-01 1.855E+00 8.114E-03 1.863E+00 1.677E-01
7.100E-01 1.853E+00 8.172E-03 1.861E+00 1.717E-01
7.160E-01 1.850E+00 8.229E-03 1.859E+00 1.756E-01
7.220E-01 1.848E+00 8.286E-03 1.857E+00 1.796E-01
7.280E-01 1.846E+00 8.344E-03 1.855E+00 1.836E-01
7.340E-01 1.844E+00 8.402E-03 1.853E+00 1.876E-01
7.400E-01 1.842E+00 8.460E-03 1.851E+00 1.917E-01
7.460E-01 1.840E+00 8.518E-03 1.849E+00 1.957E-01
7.520E-01 1.838E+00 8.577E-03 1.847E+00 1.997E-01
7.580E-01 1.837E+00 8.635E-03 1.845E+00 2.038E-01
7.640E-01 1.835E+00 8.694E-03 1.843E+00 2.078E-01
7.700E-01 1.833E+00 8.753E-03 1.842E+00 2.118E-01
7.760E-01 1.831E+00 8.812E-03 1.840E+00 2.159E-01
7.820E-01 1.830E+00 8.871E-03 1.838E+00 2.199E-01
7.880E-01 1.828E+00 8.931E-03 1.837E+00 2.240E-01
7.940E-01 1.826E+00 8.990E-03 1.835E+00 2.281E-01
8.000E-01 1.825E+00 9.050E-03 1.834E+00 2.321E-01
8.060E-01 1.823E+00 9.110E-03 1.832E+00 2.362E-01
8.120E-01 1.822E+00 9.170E-03 1.831E+00 2.403E-01
8.180E-01 1.820E+00 9.230E-03 1.829E+00 2.443E-01
8.240E-01 1.819E+00 9.290E-03 1.828E+00 2.484E-01
8.300E-01 1.817E+00 9.351E-03 1.827E+00 2.525E-01
8.360E-01 1.816E+00 9.412E-03 1.825E+00 2.566E-01
8.420E-01 1.814E+00 9.472E-03 1.824E+00 2.606E-01
8.480E-01 1.813E+00 9.533E-03 1.823E+00 2.647E-01
8.540E-01 1.812E+00 9.595E-03 1.821E+00 2.688E-01
8.600E-01 1.811E+00 9.656E-03 1.820E+00 2.729E-01
8.660E-01 1.809E+00 9.717E-03 1.819E+00 2.770E-01
8.720E-01 1.808E+00 9.779E-03 1.818E+00 2.810E-01
8.780E-01 1.807E+00 9.841E-03 1.817E+00 2.851E-01
8.840E-01 1.806E+00 9.903E-03 1.816E+00 2.892E-01
8.900E-01 1.805E+00 9.965E-03 1.815E+00 2.933E-01
8.960E-01 1.804E+00 1.003E-02 1.814E+00 2.974E-01
9.030E-01 1.802E+00 1.010E-02 1.812E+00 3.021E-01
9.090E-01 1.801E+00 1.016E-02 1.811E+00 3.062E-01
9.150E-01 1.800E+00 1.022E-02 1.810E+00 3.103E-01
9.210E-01 1.799E+00 1.029E-02 1.809E+00 3.144E-01
9.270E-01 1.798E+00 1.035E-02 1.808E+00 3.185E-01
9.330E-01 1.797E+00 1.041E-02 1.808E+00 3.225E-01
9.390E-01 1.796E+00 1.048E-02 1.807E+00 3.266E-01
9.450E-01 1.795E+00 1.054E-02 1.806E+00 3.307E-01
9.510E-01 1.794E+00 1.060E-02 1.805E+00 3.348E-01
9.570E-01 1.793E+00 1.067E-02 1.804E+00 3.388E-01
9.630E-01 1.793E+00 1.073E-02 1.803E+00 3.429E-01
9.690E-01 1.792E+00 1.079E-02 1.803E+00 3.470E-01
9.750E-01 1.791E+00 1.086E-02 1.802E+00 3.510E-01
9.810E-01 1.790E+00 1.092E-02 1.801E+00 3.551E-01
