E(keV),dNtot/dE b-,unc.
198,2.52E-03,4.88E-06
199,2.51E-03,4.84E-06
200,2.51E-03,4.81E-06
201,2.51E-03,4.78E-06
202,2.50E-03,4.74E-06
203,2.50E-03,4.71E-06
204,2.50E-03,4.67E-06
205,2.49E-03,4.63E-06
206,2.49E-03,4.60E-06
207,2.49E-03,4.56E-06
208,2.48E-03,4.53E-06
209,2.48E-03,4.49E-06
210,2.47E-03,4.45E-06
211,2.47E-03,4.41E-06
212,2.47E-03,4.37E-06
213,2.46E-03,4.34E-06
214,2.46E-03,4.30E-06
215,2.46E-03,4.26E-06
216,2.45E-03,4.22E-06
217,2.45E-03,4.18E-06
218,2.44E-03,4.14E-06
219,2.44E-03,4.10E-06
220,2.44E-03,4.06E-06
221,2.43E-03,4.02E-06
222,2.43E-03,3.98E-06
223,2.42E-03,3.93E-06
224,2.42E-03,3.89E-06
225,2.42E-03,3.85E-06
226,2.41E-03,3.81E-06
227,2.41E-03,3.76E-06
228,2.40E-03,3.72E-06
229,2.40E-03,3.68E-06
230,2.39E-03,3.63E-06
231,2.39E-03,3.59E-06
232,2.39E-03,3.54E-06
233,2.38E-03,3.50E-06
234,2.38E-03,3.45E-06
235,2.37E-03,3.41E-06
236,2.37E-03,3.36E-06
237,2.36E-03,3.31E-06
238,2.36E-03,3.26E-06
239,2.35E-03,3.22E-06
240,2.35E-03,3.17E-06
241,2.34E-03,3.12E-06
242,2.34E-03,3.07E-06
243,2.33E-03,3.02E-06
244,2.33E-03,2.97E-06
245,2.32E-03,2.92E-06
246,2.32E-03,2.87E-06
247,2.32E-03,2.82E-06
248,2.31E-03,2.77E-06
249,2.31E-03,2.72E-06
250,2.30E-03,2.67E-06
251,2.30E-03,2.61E-06
252,2.29E-03,2.56E-06
253,2.28E-03,2.51E-06
254,2.28E-03,2.45E-06
255,2.27E-03,2.40E-06
256,2.27E-03,2.35E-06
257,2.26E-03,2.29E-06
258,2.26E-03,2.24E-06
259,2.25E-03,2.18E-06
260,2.25E-03,2.12E-06
261,2.24E-03,2.07E-06
262,2.24E-03,2.01E-06
263,2.23E-03,1.95E-06
264,2.23E-03,1.90E-06
265,2.22E-03,1.84E-06
266,2.21E-03,1.78E-06
267,2.21E-03,1.72E-06
