E(keV),dNtot/dE b-,unc.
688,6.31E-04,4.56E-07
695,6.31E-04,4.53E-07
702,6.31E-04,4.49E-07
709,6.32E-04,4.46E-07
716,6.32E-04,4.43E-07
723,6.32E-04,4.40E-07
730,6.32E-04,4.36E-07
737,6.32E-04,4.33E-07
744,6.32E-04,4.30E-07
751,6.32E-04,4.26E-07
758,6.32E-04,4.23E-07
765,6.32E-04,4.20E-07
772,6.32E-04,4.16E-07
779,6.32E-04,4.13E-07
786,6.32E-04,4.09E-07
793,6.31E-04,4.06E-07
800,6.31E-04,4.02E-07
807,6.31E-04,3.99E-07
814,6.31E-04,3.95E-07
821,6.30E-04,3.91E-07
828,6.30E-04,3.88E-07
835,6.30E-04,3.84E-07
842,6.29E-04,3.81E-07
849,6.29E-04,3.77E-07
856,6.28E-04,3.73E-07
863,6.28E-04,3.69E-07
870,6.27E-04,3.66E-07
877,6.27E-04,3.62E-07
884,6.26E-04,3.58E-07
891,6.26E-04,3.54E-07
898,6.25E-04,3.50E-07
905,6.24E-04,3.46E-07
912,6.24E-04,3.42E-07
919,6.23E-04,3.38E-07
926,6.22E-04,3.34E-07
933,6.21E-04,3.30E-07
940,6.21E-04,3.26E-07
947,6.20E-04,3.22E-07
954,6.19E-04,3.17E-07
961,6.18E-04,3.13E-07
968,6.17E-04,3.09E-07
975,6.16E-04,3.05E-07
982,6.15E-04,3.00E-07
989,6.14E-04,2.96E-07
996,6.13E-04,2.91E-07
1003,6.12E-04,2.87E-07
1010,6.11E-04,2.82E-07
1017,6.10E-04,2.77E-07
1024,6.09E-04,2.73E-07
1031,6.08E-04,2.68E-07
1038,6.07E-04,2.63E-07
1045,6.05E-04,2.58E-07
1052,6.04E-04,2.53E-07
1059,6.03E-04,2.48E-07
1066,6.02E-04,2.43E-07
1073,6.00E-04,2.38E-07
1080,5.99E-04,2.33E-07
1087,5.98E-04,2.28E-07
1094,5.96E-04,2.22E-07
1101,5.95E-04,2.17E-07
1108,5.93E-04,2.11E-07
1115,5.92E-04,2.06E-07
1122,5.90E-04,2.00E-07
1129,5.89E-04,1.94E-07
1136,5.87E-04,1.89E-07
1143,5.85E-04,1.83E-07
1150,5.84E-04,1.77E-07
