thickness(mm)   time(s)   counts(unitless)
0.00   010   144794
0.09   010   087966
0.18   010   058998
0.32   010   024605
0.41   010   013759
0.50   010   007246
0.59   010   003425
0.70   020   003254
0.82   050   002291
0.91   120   002268
1.00   240   002202
1.08   340   002219
1.20   420   002176
1.32   500   002463
1.41   500   002305
1.50   500   002329
1.59   500   002155
1.73   500   002512
1.82   500   002106
