# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
7.815631262525049583e-02,1.283821043675652815e-03,1.281027091458730900e-03,1.286627209891337206e-03,7.842104278419233357e-06,7.825037674984153726e-06,7.859245489956761212e-06
8.016032064128256196e-02,1.221236335540720535e-03,1.218578585082525289e-03,1.223905704580153728e-03,7.847270239337000909e-06,7.830192393331915628e-06,7.864422742592382817e-06
8.216432865731462809e-02,1.163097276843306615e-03,1.160566053172265881e-03,1.165639565973018450e-03,7.852042852733918019e-06,7.834954620192605631e-06,7.869205787931148299e-06
8.416833667334668034e-02,1.108993984791975789e-03,1.106580504955649580e-03,1.111418015359826993e-03,7.856455954687108226e-06,7.839358118006615933e-06,7.873628536008829107e-06
8.617234468937874647e-02,1.058568421150820563e-03,1.056264681387706792e-03,1.060882231907434416e-03,7.860582932228652405e-06,7.843476114095402081e-06,7.877764534266311900e-06
8.817635270541081260e-02,1.011490913628687767e-03,1.009289627636024769e-03,1.013701822729515473e-03,7.864411824792427429e-06,7.847296673922368401e-06,7.881601795994159083e-06
9.018036072144287874e-02,9.674724476440197622e-04,9.653669580952842612e-04,9.695871415186513428e-04,7.867967222939425387e-06,7.850844334532594372e-06,7.885164965503225852e-06
9.218436873747494487e-02,9.262544147760320415e-04,9.242386271486631574e-04,9.282790145897501510e-04,7.871270965442240931e-06,7.854140887171420503e-06,7.888475929301131412e-06
9.418837675350701100e-02,8.876048629039563591e-04,8.856731874678216640e-04,8.895449828228720567e-04,7.874342441013648501e-06,7.857205678356385278e-06,7.891554118480344519e-06
9.619238476953906325e-02,8.513152722752636995e-04,8.494625730972981802e-04,8.531760706846085347e-04,7.877198835836831127e-06,7.860055856868744404e-06,7.894416756789479994e-06
9.819639278557112938e-02,8.172033981244227136e-04,8.154249358869377490e-04,8.189896350602137278e-04,7.879909554165398714e-06,7.862760675919119784e-06,7.897133400185431804e-06
1.002004008016031955e-01,7.850886293134737032e-04,7.833800577589287951e-04,7.868046700332844952e-04,7.882384300800736164e-06,7.865230036816404870e-06,7.899613556103030735e-06
1.022044088176352616e-01,7.548285916996809279e-04,7.531858744163302160e-04,7.564784902607730489e-04,7.884744105489013597e-06,7.867584705912323688e-06,7.901978518834342811e-06
1.042084168336673278e-01,7.262732674900041494e-04,7.246926945466092241e-04,7.278607500418947905e-04,7.886887664278340076e-06,7.869723599720609007e-06,7.904126762998073895e-06
1.062124248496993939e-01,6.993075431933375640e-04,6.977856551776829685e-04,7.008360842713557727e-04,7.888943774643816770e-06,7.871775235417171154e-06,7.906187367593857574e-06
1.082164328657314600e-01,6.738110006175259585e-04,6.723446001809264003e-04,6.752838115478374415e-04,7.890863401354635570e-06,7.873690684485528792e-06,7.908111190210055568e-06
1.102204408817635123e-01,6.496790447790743404e-04,6.482651622006650911e-04,6.510991082649301509e-04,7.892655493177533934e-06,7.875478876217410754e-06,7.909907199173549247e-06
1.122244488977955784e-01,6.268161978563924945e-04,6.254520712016452483e-04,6.281862879063518411e-04,7.894328121082431343e-06,7.877147864018051461e-06,7.911583483095726684e-06
1.142284569138276445e-01,6.051351633058362194e-04,6.038182206218192056e-04,6.064578631163406851e-04,7.895888552980355986e-06,7.878704899981487289e-06,7.913147325773754571e-06
1.162324649298597107e-01,5.845559996673029869e-04,5.832838429759704731e-04,5.858337176993626272e-04,7.897343315411612560e-06,7.880156496444449315e-06,7.914605268013603822e-06
1.182364729458917768e-01,5.650107202333444403e-04,5.637810995146646988e-04,5.662457163431440336e-04,7.898772764496013563e-06,7.881582834649449219e-06,7.916037841576877341e-06
1.202404809619238429e-01,5.464307240173621070e-04,5.452415385461600525e-04,5.476251081135748849e-04,7.900171511208803650e-06,7.882978537299754925e-06,7.917439645659534077e-06
1.222444889779558952e-01,5.287486773539518993e-04,5.275979729418650782e-04,5.299044121678403180e-04,7.901469586202684045e-06,7.884273787320850935e-06,7.918740557975803703e-06
1.242484969939879613e-01,5.119078918185476432e-04,5.107938376470165824e-04,5.130268161722493364e-04,7.902674833235595682e-06,7.885476411400482488e-06,7.919948439428460001e-06
1.262525050100200275e-01,4.958560513254072800e-04,4.947769304302486286e-04,4.969398896889599352e-04,7.903794232595615644e-06,7.886593374635670180e-06,7.921070285563035457e-06
1.282565130260520936e-01,4.805448179781185740e-04,4.794990185918767203e-04,4.815951891649558614e-04,7.904834014475336295e-06,7.887630893660373804e-06,7.922112340190035450e-06
1.302605210420841597e-01,4.659294781219361576e-04,4.649154857865238984e-04,4.669479032107272387e-04,7.905799756086039212e-06,7.888594533548311239e-06,7.923080192711363403e-06
1.322645290581162258e-01,4.519686240734729324e-04,4.509850144454567050e-04,4.529565336342892819e-04,7.906696464930051412e-06,7.889489290904088583e-06,7.923978861574707769e-06
1.342685370741482920e-01,4.386238675540870733e-04,4.376692998336212154e-04,4.395826082481943723e-04,7.907528650287737570e-06,7.890319665194619529e-06,7.924812865916781344e-06
1.362725450901803581e-01,4.258595813326917319e-04,4.249327922547099052e-04,4.267904219476266036e-04,7.908300384666594460e-06,7.891089720064491935e-06,7.925586287146739879e-06
1.382765531062124242e-01,4.136426660014694496e-04,4.127424643344369619e-04,4.145468029763360422e-04,7.909015356697347203e-06,7.891803136116942136e-06,7.926302821957888166e-06
1.402805611222444904e-01,4.019423391724014495e-04,4.010676006758347699e-04,4.028209016623957028e-04,7.909676916738355617e-06,7.892463256419012739e-06,7.926965828031771997e-06
1.422845691382765287e-01,3.907299447008099084e-04,3.898796074979790443e-04,3.915839992247460580e-04,7.910288116259701972e-06,7.893073125799942677e-06,7.927578363508356660e-06
1.442885771543085949e-01,3.799787798204134841e-04,3.791518401472461952e-04,3.808093345304034523e-04,7.910851741916790448e-06,7.893635524850597067e-06,7.928143221134094140e-06
