# distance (m), g, g_p, g_m, y (m^2), y_p (m^2), y_m (m^2)
3.286573146292585124e-01,7.295336743836728028e-05,7.279460058866463808e-05,7.311282835080086247e-05,7.880103977985334450e-06,7.862954676618664663e-06,7.897328248975464901e-06
3.306613226452905785e-01,7.206454300479850795e-05,7.190771048465750392e-05,7.222206113158494297e-05,7.879314473860103067e-06,7.862166890674337163e-06,7.896537019158156556e-06
3.326653306613226446e-01,7.119171747335895301e-05,7.103678446471183309e-05,7.134732778477613502e-05,7.878518426415472801e-06,7.861372575650696601e-06,7.895739231719113360e-06
3.346693386773546552e-01,7.033450928895444135e-05,7.018144180410362083e-05,7.048824592128001012e-05,7.877715870858549368e-06,7.860571766678227788e-06,7.894934921942392279e-06
3.366733466933867214e-01,6.949254820090267320e-05,6.934131305791921360e-05,6.964444448112321203e-05,7.876906841427449736e-06,7.859764497920535898e-06,7.894124124140950723e-06
3.386773547094187875e-01,6.866547486350033569e-05,6.851603966249162660e-05,6.881556333314732576e-05,7.876091371425947461e-06,7.858950802608915572e-06,7.893306871691359650e-06
3.406813627254508536e-01,6.785294045295468856e-05,6.770527355316589444e-05,6.800125289110321529e-05,7.875269493256613704e-06,7.858130713075424170e-06,7.892483197067008948e-06
3.426853707414829198e-01,6.705460629992049198e-05,6.690867679763557103e-05,6.720117374538478797e-05,7.874441238452755448e-06,7.857304260784740374e-06,7.891653131870137144e-06
3.446893787575149859e-01,6.627014353691735161e-05,6.612592124412755416e-05,6.641499630967563443e-05,7.873606637708934102e-06,7.856471476364630267e-06,7.890816706862395738e-06
3.466933867735470520e-01,6.549923275994505708e-05,6.535668818375366508e-05,6.564240048182471083e-05,7.872765720910338905e-06,7.855632389635234348e-06,7.889973951994295456e-06
3.486973947895791182e-01,6.474156370364609432e-05,6.460066802638027750e-05,6.488307531829887490e-05,7.871918517160930446e-06,7.854787029637185633e-06,7.889124896433412449e-06
3.507014028056111843e-01,6.399683492939997934e-05,6.385755998940128057e-05,6.413671872159537862e-05,7.871065054810518611e-06,7.853935424658591046e-06,7.888269568591523839e-06
3.527054108216432504e-01,6.326475352576378165e-05,6.312707179883068215e-05,6.340303714002775023e-05,7.870205361480710589e-06,7.853077602260948931e-06,7.887407996150615019e-06
3.547094188376753165e-01,6.254503482070406450e-05,6.240891940216064873e-05,6.268174527932854497e-05,7.869339464089850916e-06,7.852213589304021330e-06,7.886540206087860349e-06
3.567134268537073827e-01,6.183740210509333342e-05,6.170282669245984880e-05,6.197256582554162190e-05,7.868467388877058567e-06,7.851343411969820258e-06,7.885666224699741571e-06
3.587174348697394488e-01,6.114158636696832968e-05,6.100852524320997839e-05,6.127522917869939985e-05,7.867589161425183253e-06,7.850467095785521642e-06,7.884786077625017652e-06
3.607214428857715149e-01,6.045732603607672476e-05,6.032575405340844801e-05,6.058947319681131657e-05,7.866704806683048496e-06,7.849584665645654196e-06,7.883899789867054262e-06
3.627254509018035811e-01,5.978436673825666790e-05,5.965425930248244865e-05,5.991504294970639800e-05,7.865814348986657957e-06,7.848696145833259995e-06,7.883007385815041950e-06
3.647294589178356472e-01,5.912246105922220772e-05,5.899379411458843429e-05,5.925169048230247094e-05,7.864917812079774936e-06,7.847801560040429945e-06,7.882108889264648506e-06
3.667334669338677133e-01,5.847136831734215718e-05,5.834411833188548469e-05,5.859917458688825335e-05,7.864015219133541361e-06,7.846900931387877016e-06,7.881204323437658260e-06
3.687374749498997795e-01,5.783085434502603314e-05,5.770499829639704029e-05,5.795726058403155372e-05,7.863106592765495363e-06,7.845994282443916564e-06,7.880293711001047269e-06
3.707414829659318456e-01,5.720069127834447064e-05,5.707620664008910058e-05,5.732572011173975334e-05,7.862191955057768936e-06,7.845081635242626708e-06,7.879377074085216549e-06
3.727454909819639117e-01,5.658065735453282386e-05,5.645752208281458706e-05,5.670433092252086970e-05,7.861271327574657095e-06,7.844163011301373450e-06,7.878454434301596801e-06
3.747494989979959779e-01,5.597053671704214223e-05,5.584872923778852027e-05,5.609287668800835315e-05,7.860344731379578860e-06,7.843238431637730999e-06,7.877525812759643287e-06
3.767535070140280440e-01,5.537011922781667940e-05,5.524961842427411032e-05,5.549114681082829305e-05,7.859412187051267447e-06,7.842307916785651634e-06,7.876591230083073450e-06
3.787575150300601101e-01,5.477920028649505620e-05,5.465998548717733620e-05,5.489893624340542295e-05,7.858473714699497977e-06,7.841371486811142587e-06,7.875650706425616642e-06
3.807615230460921762e-01,5.419758065624372551e-05,5.407963162325952219e-05,5.431604531341584072e-05,7.857529333980178208e-06,7.840429161327338149e-06,7.874704261486145524e-06
3.827655310621242424e-01,5.362506629594672821e-05,5.350836321369221933e-05,5.374227955560999253e-05,7.856579064109912429e-06,7.839480959509021203e-06,7.873751914523267052e-06
3.847695390781562530e-01,5.306146819848760144e-05,5.294599166269112016e-05,5.317744954974111760e-05,7.855622923880009684e-06,7.838526900106604348e-06,7.872793684369362897e-06
3.867735470941883191e-01,5.250660223487237191e-05,5.239233324197819727e-05,5.262137076434749707e-05,7.854660931669995644e-06,7.837567001459612971e-06,7.871829589444136893e-06
3.887775551102203853e-01,5.196028900395388317e-05,5.184720894083320213e-05,5.207386340614831552e-05,7.853693105460651832e-06,7.836601281509704143e-06,7.870859647767669502e-06
3.907815631262524514e-01,5.142235368752822946e-05,5.131044432150532397e-05,5.153475227482337220e-05,7.852719462846577121e-06,7.835629757813178991e-06,7.869883876973018282e-06
3.927855711422845175e-01,5.089262591058552737e-05,5.078186937976815463e-05,5.100386662295839231e-05,7.851740021048320636e-06,7.834652447553113900e-06,7.868902294318372807e-06
3.947895791583165837e-01,5.037093960650573359e-05,5.026131841040888470e-05,5.048104002094617890e-05,7.850754796924030147e-06,7.833669367550964870e-06,7.867914916698726783e-06
3.967935871743486498e-01,4.985713288700166219e-05,4.974862987745433819e-05,4.996611022664537949e-05,7.849763806980746412e-06,7.832680534277851683e-06,7.866921760657206262e-06
3.987975951903807159e-01,4.935104791661855129e-05,4.924364628894365651e-05,4.945891905960569533e-05,7.848767067385314651e-06,7.831685963865435505e-06,7.865922842395992986e-06
4.008016032064127820e-01,4.885253079160831771e-05,4.874621407606619724e-05,4.895931227967740103e-05,7.847764593974853873e-06,7.830685672116367881e-06,7.864918177786819119e-06
4.028056112224448482e-01,4.836143142300571170e-05,4.825618347649210361e-05,4.846713946983195281e-05,7.846756402266872148e-06,7.829679674514387371e-06,7.863907782381116400e-06
4.048096192384769143e-01,4.787760342374079372e-05,4.777340842173047509e-05,4.798225392302765343e-05,7.845742507469122677e-06,7.828667986234151904e-06,7.862891671419873908e-06
4.068136272545089804e-01,4.740090399962813193e-05,4.729774642835582222e-05,4.750451253296065048e-05,7.844722924488960121e-06,7.827650622150573087e-06,7.861869859843033357e-06
4.088176352705410466e-01,4.693119384408315473e-05,4.682905849295348387e-05,4.703377568855109244e-05,7.843697667942554626e-06,7.826627596848011588e-06,7.860842362298713280e-06
4.108216432865731127e-01,4.646833703641891830e-05,4.636720899063780934e-05,4.656990717201764163e-05,7.842666752163665386e-06,7.825598924629032074e-06,7.859809193151999539e-06
4.128256513026051788e-01,4.601220094358607674e-05,4.591206557700591267e-05,4.611277406040265020e-05,7.841630191212158412e-06,7.824564619522904031e-06,7.858770366493495277e-06
4.148296593186372450e-01,4.556265612522290094e-05,4.546349909339434737e-05,4.566224663041464256e-05,7.840587998882236301e-06,7.823524695293811209e-06,7.857725896147552380e-06
4.168336673346693111e-01,4.511957624188871169e-05,4.502138347531224946e-05,4.521819826646114381e-05,7.839540188710378323e-06,7.822479165448769682e-06,7.856675795680236979e-06
4.188376753507013772e-01,4.468283796635985861e-05,4.458559566393035189e-05,4.478050537175080344e-05,7.838486773983095854e-06,7.821428043245374817e-06,7.855620078407101823e-06
4.208416833667334433e-01,4.425232089787056153e-05,4.415601552050849840e-05,4.434904728234678490e-05,7.837427767744272765e-06,7.820371341699128105e-06,7.854558757400545300e-06
4.228456913827655095e-01,4.382790747918923206e-05,4.373252574365236957e-05,4.392370618406176786e-05,7.836363182802412637e-06,7.819309073590655578e-06,7.853491845497060346e-06
4.248496993987975756e-01,4.340948291642222082e-05,4.331501178929181365e-05,4.350436703208652908e-05,7.835293031737543769e-06,7.818241251472607737e-06,7.852419355304181810e-06
4.268537074148296417e-01,4.299693510144418673e-05,4.290336179328000591e-05,4.309091747325061373e-05,7.834217326908009000e-06,7.817167887676437511e-06,7.851341299207261021e-06
4.288577154308617079e-01,4.259015453685581617e-05,4.249746649651446210e-05,4.268324777081615706e-05,7.833136080456901460e-06,7.816088994318802133e-06,7.850257689375932042e-06
4.308617234468937740e-01,4.218903426337642303e-05,4.209721917248768132e-05,4.228125073171166233e-05,7.832049304318356334e-06,7.815004583307870147e-06,7.849168537770416978e-06
4.328657314629258401e-01,4.179346978958148150e-05,4.170251555717760554e-05,4.188482163611607163e-05,7.830957010223707097e-06,7.813914666349445454e-06,7.848073856147690685e-06
4.348697394789579063e-01,4.140335902389777274e-05,4.131325378119070569e-05,4.149385816930519389e-05,7.829859209707279219e-06,7.812819254952747466e-06,7.846973656067294804e-06
4.368737474949899169e-01,4.101860220877567056e-05,4.092933430407757843e-05,4.110826035568009652e-05,7.828755914112210974e-06,7.811718360436231920e-06,7.845867948897155181e-06
4.388777555110219830e-01,4.063910185695665447e-05,4.055065985073912202e-05,4.072793049489534603e-05,7.827647134595835490e-06,7.810611993932950895e-06,7.844756745818994411e-06
4.408817635270540491e-01,4.026476268976304958e-05,4.017713534985061554e-05,4.035277310001389342e-05,7.826532882135135640e-06,7.809500166395995854e-06,7.843640057833791809e-06
4.428857715430861153e-01,3.989549157733468868e-05,3.980866787422841752e-05,3.998269483761300862e-05,7.825413167531870284e-06,7.808382888603618798e-06,7.842517895766909657e-06
4.448897795591181814e-01,3.953119748074401552e-05,3.944516658307101962e-05,3.961760446977295903e-05,7.824288001417615811e-06,7.807260171164258564e-06,7.841390270273172010e-06
4.468937875751502475e-01,3.917179139592149407e-05,3.908654266600653703e-05,3.925741279787978193e-05,7.823157394258575592e-06,7.806132024521341808e-06,7.840257191841652128e-06
4.488977955911823137e-01,3.881718629932791813e-05,3.873270928888325037e-05,3.890203260817890108e-05,7.822021356360325057e-06,7.804998458958017915e-06,7.839118670800454823e-06
4.509018036072143798e-01,3.846729709531094101e-05,3.838358154124062708e-05,3.855137861901653445e-05,7.820879897872361959e-06,7.803859484601694018e-06,7.837974717321261642e-06
4.529058116232464459e-01,3.812204056508664799e-05,3.803907638540201787e-05,3.820536742970978360e-05,7.819733028792516023e-06,7.802715111428439566e-06,7.836825341423754064e-06
4.549098196392785121e-01,3.778133531728924434e-05,3.769911260713193144e-05,3.786391747098823352e-05,7.818580758971236630e-06,7.801565349267275702e-06,7.835670552979916438e-06
4.569138276553105782e-01,3.744510174003372034e-05,3.736361076780296585e-05,3.752694895695182271e-05,7.817423098115721257e-06,7.800410207804261346e-06,7.834510361718157638e-06
4.589178356713426443e-01,3.711326195443929575e-05,3.703249315802049723e-05,3.719438383849271149e-05,7.816260055793955818e-06,7.799249696586569122e-06,7.833344777227383600e-06
4.609218436873747105e-01,3.678573976956257108e-05,3.670568375265384280e-05,3.686614575812991991e-05,7.815091641438627964e-06,7.798083825026356293e-06,7.832173808960897062e-06
4.629258517034067766e-01,3.646246063869184722e-05,3.638310816722570583e-05,3.654216000620810891e-05,7.813917864350887905e-06,7.796912602404530677e-06,7.830997466240178717e-06
4.649298597194388427e-01,3.614335161695584372e-05,3.606469361561317973e-05,3.622235347841366702e-05,7.812738733704005896e-06,7.795736037874399657e-06,7.829815758258548092e-06
4.669338677354709088e-01,3.582834132020215335e-05,3.575036886901564935e-05,3.590665463456325067e-05,7.811554258546972134e-06,7.794554140465259913e-06,7.828628694084778685e-06
4.689378757515029750e-01,3.551735988510139395e-05,3.544006421614579421e-05,3.559499345862073911e-05,7.810364447807886576e-06,7.793366919085782161e-06,7.827436282666482703e-06
4.709418837675350411e-01,3.521033893043652881e-05,3.513371142460315134e-05,3.528730141990195991e-05,7.809169310297375875e-06,7.792174382527414535e-06,7.826238532833544942e-06
4.729458917835671072e-01,3.490721151953626427e-05,3.483124370338928888e-05,3.498351143542595149e-05,7.807968854711793471e-06,7.790976539467591144e-06,7.825035453301326259e-06
4.749498997995991734e-01,3.460791212381464528e-05,3.453259566652669746e-05,3.468355783337489010e-05,7.806763089636365466e-06,7.789773398472849157e-06,7.823827052673819620e-06
4.769539078156312395e-01,3.431237658738000630e-05,3.423770329774479396e-05,3.438737631762564225e-05,7.805552023548309405e-06,7.788564968001959437e-06,7.822613339446775650e-06
4.789579158316633056e-01,3.402054209267662475e-05,3.394650391619637820e-05,3.409490393331635755e-05,7.804335664819744679e-06,7.787351256408821693e-06,7.821394322010607957e-06
4.809619238476953718e-01,3.373234712712581924e-05,3.365893614317125743e-05,3.380607903341462036e-05,7.803114021720584294e-06,7.786132271945351178e-06,7.820170008653306925e-06
4.829659318637274379e-01,3.344773145073300400e-05,3.337493986977384854e-05,3.352084124625373301e-05,7.801887102421369046e-06,7.784908022764306076e-06,7.818940407563273887e-06
4.849699398797595040e-01,3.316663606462863457e-05,3.309445622553260460e-05,3.323913144400486884e-05,7.800654914995967860e-06,7.783678516921984462e-06,7.817705526832024852e-06
4.869739478957915702e-01,3.288900318051259873e-05,3.281742754791083349e-05,3.296089171205470331e-05,7.799417467424179877e-06,7.782443762380821301e-06,7.816465374456801063e-06
4.889779559118235808e-01,3.261477619097296905e-05,3.254379735269010966e-05,3.268606531925924332e-05,7.798174767594372113e-06,7.781203767012010862e-06,7.815219958343210045e-06
4.909819639278556469e-01,3.234389964064959973e-05,3.227351030519661228e-05,3.241459668904446564e-05,7.796926823305896890e-06,7.779958538597942788e-06,7.813969286307659976e-06
4.929859719438877130e-01,3.207631919821636379e-05,3.200651219234429461e-05,3.214643137132722217e-05,7.795673642271560094e-06,7.778708084834626299e-06,7.812713366079805920e-06
4.949899799599197792e-01,3.181198162915476970e-05,3.174274989546782013e-05,3.188151601522942204e-05,7.794415232119962370e-06,7.777452413334065277e-06,7.811452205304923214e-06
4.969939879759518453e-01,3.155083476929371606e-05,3.148217136391984758e-05,3.161979834255993047e-05,7.793151600397750538e-06,7.776191531626482575e-06,7.810185811546160574e-06
4.989979959919839114e-01,3.129282749909122668e-05,3.122472558940877195e-05,3.136122712204006088e-05,7.791882754571887641e-06,7.774925447162593447e-06,7.808914192286799978e-06
5.010020040080159776e-01,3.103790971863381237e-05,3.097036258105245217e-05,3.110575214424830646e-05,7.790608702031770526e-06,7.773654167315704504e-06,7.807637354932384416e-06
5.030060120240480437e-01,3.078603232333130776e-05,3.071903334112601803e-05,3.085332419726207821e-05,7.789329450091345733e-06,7.772377699383858395e-06,7.806355306812855799e-06
5.050100200400801098e-01,3.053714718028471305e-05,3.047068984148104209e-05,3.060389504297385049e-05,7.788045005991140680e-06,7.771096050591810785e-06,7.805068055184560732e-06
5.070140280561121759e-01,3.029120710530612917e-05,3.022528500061558195e-05,3.035741739406089094e-05,7.786755376900252499e-06,7.769809228093070010e-06,7.803775607232273231e-06
5.090180360721442421e-01,3.004816584057011194e-05,2.998277266137409986e-05,3.011384489158775097e-05,7.785460569918277571e-06,7.768517238971775797e-06,7.802477970071103935e-06
5.110220440881763082e-01,2.980797803287661116e-05,2.974310756925773065e-05,2.987313208322169301e-05,7.784160592077144511e-06,7.767220090244550873e-06,7.801175150748351718e-06
5.130260521042083743e-01,2.957059921250699194e-05,2.950624535132634777e-05,2.963523440204252158e-05,7.782855450343001356e-06,7.765917788862386468e-06,7.799867156245389186e-06
5.150300601202404405e-01,2.933598577265400902e-05,2.927214249567326431e-05,2.940010814592756985e-05,7.781545151617963839e-06,7.764610341712375338e-06,7.798553993479422812e-06
5.170340681362725066e-01,2.910409494940819020e-05,2.904075633145518105e-05,2.916771045749432206e-05,7.780229702741782351e-06,7.763297755619385506e-06,7.797235669305151425e-06
5.190380761523045727e-01,2.887488480228412875e-05,2.881204500946088135e-05,2.893799930458420178e-05,7.778909110493619018e-06,7.761980037347822090e-06,7.795912190516555144e-06
5.210420841683366389e-01,2.864831419526903941e-05,2.858596748320099359e-05,2.871093346126962667e-05,7.777583381593594378e-06,7.760657193603185839e-06,7.794583563848443754e-06
5.230460921843687050e-01,2.842434277837853804e-05,2.836248349050394052e-05,2.848647248936952698e-05,7.776252522704423857e-06,7.759329231033685893e-06,7.793249795978094869e-06
5.250501002004007711e-01,2.820293096970373086e-05,2.814155353560209024e-05,2.826457672045717991e-05,7.774916540432940724e-06,7.757996156231781372e-06,7.791910893526783673e-06
5.270541082164328373e-01,2.798403993793481393e-05,2.792313887169338755e-05,2.804520723834559432e-05,7.773575441331612290e-06,7.756657975735678940e-06,7.790566863061297413e-06
5.290581162324649034e-01,2.776763158534680030e-05,2.770720148396410985e-05,2.782832586203608024e-05,7.772229231899993409e-06,7.755314696030788001e-06,7.789217711095402464e-06
5.310621242484969695e-01,2.755366853123339868e-05,2.749370407305879227e-05,2.761389512911587455e-05,7.770877918586130862e-06,7.753966323551123388e-06,7.787863444091236846e-06
5.330661322645290356e-01,2.734211409577593841e-05,2.728261003898426381e-05,2.740187827959183954e-05,7.769521507788010089e-06,7.752612864680745320e-06,7.786504068460768820e-06
5.350701402805611018e-01,2.713293228433360190e-05,2.707388346543407277e-05,2.719223924014634985e-05,7.768160005854827434e-06,7.751254325755035031e-06,7.785139590567077597e-06
5.370741482965931679e-01,2.692608777214341762e-05,2.686748910452178173e-05,2.698494260880383782e-05,7.766793419088392826e-06,7.749890713062085603e-06,7.783770016725742477e-06
5.390781563126252340e-01,2.672154588941674593e-05,2.666339236190985748e-05,2.677995363999470584e-05,7.765421753744302080e-06,7.748522032843879333e-06,7.782395353206037161e-06
5.410821643286573002e-01,2.651927260682176795e-05,2.646155928232378802e-05,2.657723823000607516e-05,7.764045016033297225e-06,7.747148291297641302e-06,7.781015606232276536e-06
5.430861723446893663e-01,2.631923452133932279e-05,2.626195653543869431e-05,2.637676290280673019e-05,7.762663212122364266e-06,7.745769494576940510e-06,7.779630781984926287e-06
5.450901803607214324e-01,2.612139884248242691e-05,2.606455140212882436e-05,2.617849479623648686e-05,7.761276348136030831e-06,7.744385648792972287e-06,7.778240886601902246e-06
5.470941883767534986e-01,2.592573337886768146e-05,2.586931176106819336e-05,2.598240164854826546e-05,7.759884430157426661e-06,7.742996760015627251e-06,7.776845926179627488e-06
5.490981963927855647e-01,2.573220652512916547e-05,2.567620607567295754e-05,2.578845178529337790e-05,7.758487464229449126e-06,7.741602834274653432e-06,7.775445906774211405e-06
5.511022044088176308e-01,2.554078724916450494e-05,2.548520338137524898e-05,2.559661410653972939e-05,7.757085456355859287e-06,7.740203877560745559e-06,7.774040834402540679e-06
5.531062124248496970e-01,2.535144507970339375e-05,2.529627327321873047e-05,2.540685807441311910e-05,7.755678412502303414e-06,7.738799895826563194e-06,7.772630715043288947e-06
5.551102204408817631e-01,2.516415009418984550e-05,2.510938589376723743e-05,2.521915370095310186e-05,7.754266338597405663e-06,7.737390894987836957e-06,7.771215554638055215e-06
5.571142284569138292e-01,2.497887290696839457e-05,2.492451192131666784e-05,2.503347153627323948e-05,7.752849240533754018e-06,7.735976880924323978e-06,7.769795359092297287e-06
5.591182364729458953e-01,2.479558465776614211e-05,2.474162255840213088e-05,2.484978265701809152e-05,7.751427124168876079e-06,7.734557859480805704e-06,7.768370134276349900e-06
5.611222444889779615e-01,2.461425700046202073e-05,2.456068952059159603e-05,2.466805865510784151e-05,7.749999995326213142e-06,7.733133836468051819e-06,7.766939886026381868e-06
5.631262525050100276e-01,2.443486209213499731e-05,2.438168502555799572e-05,2.448827162676261342e-05,7.748567859796031613e-06,7.731704817663723184e-06,7.765504620145310881e-06
5.651302605210419827e-01,2.425737258238374987e-05,2.420458178242209057e-05,2.431039416179879410e-05,7.747130723336390318e-06,7.730270808813352701e-06,7.764064342403791144e-06
5.671342685370740488e-01,2.408176160290941928e-05,2.402935298135793185e-05,2.413439933318899987e-05,7.745688591673977367e-06,7.728831815631161852e-06,7.762619058541023138e-06
5.691382765531061150e-01,2.390800275735484263e-05,2.385597228345418192e-05,2.396026068687911418e-05,7.744241470504984300e-06,7.727387843800948388e-06,7.761168774265649788e-06
5.711422845691381811e-01,2.373607011139259061e-05,2.368441381082373414e-05,2.378795223185465113e-05,7.742789365495971748e-06,7.725938898976940142e-06,7.759713495256618734e-06
5.731462925851702472e-01,2.356593818305506994e-05,2.351465213695484537e-05,2.361744843044972616e-05,7.741332282284697834e-06,7.724484986784623422e-06,7.758253227164007347e-06
5.751503006012023134e-01,2.339758193329973513e-05,2.334666227729691033e-05,2.344872418889164758e-05,7.739870226480878809e-06,7.723026112821508736e-06,7.756787975609798609e-06
5.771543086172343795e-01,2.323097675680330400e-05,2.318041968007468400e-05,2.328175484807500659e-05,7.738403203667024226e-06,7.721562282657957489e-06,7.755317746188701041e-06
5.791583166332664456e-01,2.306609847297821767e-05,2.301590021732429799e-05,2.311651617455849636e-05,7.736931219399172162e-06,7.720093501837912129e-06,7.753842544468895784e-06
5.811623246492985118e-01,2.290292331720550408e-05,2.285308017614521265e-05,2.295298435177862907e-05,7.735454279207643082e-06,7.718619775879661865e-06,7.752362375992795547e-06
5.831663326653305779e-01,2.274142793227800359e-05,2.269193625016205726e-05,2.279113597147423547e-05,7.733972388597769979e-06,7.717141110276555866e-06,7.750877246277762883e-06
5.851703406813626440e-01,2.258158936004819392e-05,2.253244553119064227e-05,2.263094802531605813e-05,7.732485553050584469e-06,7.715657510497702913e-06,7.749387160816814926e-06
5.871743486973947102e-01,2.242338503327525069e-05,2.237458550110272971e-05,2.247239789673596000e-05,7.730993778023568960e-06,7.714168981988698154e-06,7.747892125079356917e-06
5.891783567134267763e-01,2.226679276766545165e-05,2.221833402388380838e-05,2.231546335294996110e-05,7.729497068951251266e-06,7.712675530172249906e-06,7.746392144511798851e-06
5.911823647294588424e-01,2.211179075410132030e-05,2.206366933787912049e-05,2.216012253717039056e-05,7.727995431245926280e-06,7.711177160448872526e-06,7.744887224538265282e-06
5.931863727454909085e-01,2.195835755105395894e-05,2.191057004822250507e-05,2.200635396100161792e-05,7.726488870298284473e-06,7.709673878197528468e-06,7.743377370561232298e-06
5.951903807615229747e-01,2.180647207717373976e-05,2.175901511944322678e-05,2.185413649701455907e-05,7.724977391478018369e-06,7.708165688776219508e-06,7.741862587962123829e-06
5.971943887775550408e-01,2.165611360405473259e-05,2.160898386824612792e-05,2.170344937149528818e-05,7.723461000134440881e-06,7.706652597522615242e-06,7.740342882101946924e-06
5.991983967935871069e-01,2.150726174916819020e-05,2.146045595646053656e-05,2.155427215736309014e-05,7.721939701597120581e-06,7.705134609754691751e-06,7.738818258321921941e-06
6.012024048096191731e-01,2.135989646896029707e-05,2.131341138415298743e-05,2.140658476725310495e-05,7.720413501176405171e-06,7.703611730771234737e-06,7.737288721944004323e-06
6.032064128256512392e-01,2.121399805211036989e-05,2.116783048290012015e-05,2.126036744675978987e-05,7.718882404164044899e-06,7.702083965852479880e-06,7.735754278271506315e-06
6.052104208416833053e-01,2.106954711294469864e-05,2.102369390921685887e-05,2.111560076783638133e-05,7.717346415833702469e-06,7.700551320260617673e-06,7.734214932589623823e-06
6.072144288577153715e-01,2.092652458500241660e-05,2.088098263813625496e-05,2.097226562234668376e-05,7.715805541441545968e-06,7.699013799240367702e-06,7.732670690166009006e-06
6.092184368737474376e-01,2.078491171474897763e-05,2.073967795693668621e-05,2.083034321576481826e-05,7.714259786226726590e-06,7.697471408019488571e-06,7.731121556251264944e-06
6.112224448897795037e-01,2.064469005543377480e-05,2.059976145901281112e-05,2.068981506101942076e-05,7.712709155411932597e-06,7.695924151809296277e-06,7.729567536079497904e-06
6.132264529058115698e-01,2.050584146108780405e-05,2.046121503788631081e-05,2.055066297247815641e-05,7.711153654203867046e-06,7.694372035805165658e-06,7.728008634868793370e-06
6.152304609218436360e-01,2.036834808065801861e-05,2.032402088135299630e-05,2.041286906006929051e-05,7.709593287793772948e-06,7.692815065187040305e-06,7.726444857821737820e-06
6.172344689378757021e-01,2.023219235227463711e-05,2.018816146576262228e-05,2.027641572353644367e-05,7.708028061357909301e-06,7.691253245119920455e-06,7.724876210125906611e-06
6.192384769539077682e-01,2.009735699764785805e-05,2.005361955042773441e-05,2.014128564682304454e-05,7.706457980057971219e-06,7.689686580754254318e-06,7.723302696954272253e-06
6.212424849699398344e-01,1.996382501659114121e-05,1.992037817215895157e-05,2.000746179258368508e-05,7.704883049041603234e-06,7.688115077226497120e-06,7.721724323465736347e-06
6.232464929859719005e-01,1.983157968166730556e-05,1.978842063992265789e-05,1.987492739681849210e-05,7.703303273442851609e-06,7.686538739659515984e-06,7.720141094805568343e-06
6.252505010020039666e-01,1.970060453295438741e-05,1.965773052961825523e-05,1.974366596362750980e-05,7.701718658382542118e-06,7.684957573162994813e-06,7.718553016105783319e-06
6.272545090180360328e-01,1.957088337292857885e-05,1.952829167897226207e-05,1.961366126008252177e-05,7.700129208968798430e-06,7.683371582833937427e-06,7.716960092485670533e-06
6.292585170340680989e-01,1.944240026146065503e-05,1.940008818254561679e-05,1.948489731121248042e-05,7.698534930297365673e-06,7.681780773757002987e-06,7.715362329052113596e-06
6.312625250501001650e-01,1.931513951092364741e-05,1.927310438685199634e-05,1.935735839510052789e-05,7.696935827452093244e-06,7.680185151004971863e-06,7.713759730900074979e-06
6.332665330661322312e-01,1.918908568140842896e-05,1.914732488558382000e-05,1.923102903808909841e-05,7.695331905505278707e-06,7.678584719639108168e-06,7.712152303112938210e-06
6.352705410821642973e-01,1.906422357604490409e-05,1.902273451494361042e-05,1.910589401009090313e-05,7.693723169518099775e-06,7.676979484709573105e-06,7.710540050762946642e-06
6.372745490981963634e-01,1.894053823642581486e-05,1.889931834907777457e-05,1.898193832000270075e-05,7.692109624540961597e-06,7.675369451255780723e-06,7.708922978911542264e-06
6.392785571142284295e-01,1.881801493813090370e-05,1.877706169561048696e-05,1.885914721121971255e-05,7.690491275613908415e-06,7.673754624306804492e-06,7.707301092609784133e-06
6.412825651302604957e-01,1.869663918634854592e-05,1.865595009127488346e-05,1.873750615724766646e-05,7.688868127766920025e-06,7.672135008881682239e-06,7.705674396898649922e-06
6.432865731462925618e-01,1.857639671159301556e-05,1.853596929763960387e-05,1.861700085741070494e-05,7.687240186020360706e-06,7.670510609989848128e-06,7.704042896809476374e-06
6.452905811623246279e-01,1.845727346551425410e-05,1.841710529692771873e-05,1.849761723265198876e-05,7.685607455385238409e-06,7.668881432631408798e-06,7.702406597364221884e-06
6.472945891783566941e-01,1.833925561679853930e-05,1.829934428792629204e-05,1.837934142142541780e-05,7.683969940863589316e-06,7.667247481797510972e-06,7.700765503575859519e-06
6.492985971943887602e-01,1.822232954715743858e-05,1.818267268198408277e-05,1.826215977567581257e-05,7.682327647448801398e-06,7.665608762470676885e-06,7.699119620448688733e-06
6.513026052104208263e-01,1.810648184740296332e-05,1.806707709909523047e-05,1.814605885690547953e-05,7.680680580125934600e-06,7.663965279625115990e-06,7.697468952978667395e-06
6.533066132264528925e-01,1.799169931360685039e-05,1.795254436406690550e-05,1.803102543232511725e-05,7.679028743872039325e-06,7.662317038227053608e-06,7.695813506153726893e-06
6.553106212424849586e-01,1.787796894334188735e-05,1.783906150276878268e-05,1.791704647108689484e-05,7.677372143656469833e-06,7.660664043235020611e-06,7.694153284954078755e-06
6.573146292585170247e-01,1.776527793200322801e-05,1.772661573846241726e-05,1.780410914059776814e-05,7.675710784441167151e-06,7.659006299600165134e-06,7.692488294352512807e-06
6.593186372745490909e-01,1.765361366920797389e-05,1.761519448820861219e-05,1.769220080291116005e-05,7.674044671180999582e-06,7.657343812266571056e-06,7.690818539314729210e-06
